Name,Affiliation,h-index,i10-index,Citations,College/Company,Research Interest 1,Research Interest 2
Amitava Chattopadhyay,INSEAD--The GlaxoSmithKline Chaired Professor of Corporate Innovation Innovation,40,59,9862,INSEAD,Corporate Innovation,Consumer Behavior
Dr. Debasish Das,"Saha Institute of Nuclear Physics, 1/AF Bidhannagar, Kolkata-700064 INDIA",152,327,85123,Saha Institute of Nuclear Physics,Particle Physics,Condensed Matter Physics
Himanshu Garg,Texas Tech University Health Sciences Center. El Paso,27,41,1950,Texas Tech University Health Sciences Center,Endocrinology,Diabetes Research
Joydeep Dutta,"Professor, Functional Materials, KTH Royal Institute of Technology, Department of Applied Physics",72,242,21559,KTH Royal Institute of Technology,Functional Materials,Applied Physics
Dr. Satyajit Gupta,Associate Professor,24,37,3725,Indian Institute of Technology Delhi,Solid State Chemistry,Energy Materials
"Satya N Das, Satya Narayan Das, Satya Das","Professor, Department of Biotechnology, All India institute of Medical sciences, Banaras Hindu",57,235,34384,All India Institute of Medical Sciences,Biotechnology,Medical Research
"Badrinath Roysam, FIEEE, FAIMBE","ECE Department, University of Houston",61,142,18228,University of Houston,Biomedical Image Analysis,Neuroinformatics
Dr. Brijesh Kumar Dubey,ITM GIDA Gorakhpur,4,2,40,ITM GIDA Gorakhpur,Environmental Engineering,Waste Management
Gang Li,Sir Sze-Yuen Chung Endowed Prof./ Chair Prof. / Hong Kong Polytechnic Univ.,98,258,84742,Hong Kong Polytechnic University,Building Energy Efficiency,Smart and Sustainable Cities
Debayan Chakraborty,"Reader F, The Institute of Mathematical Sciences, Chennai",17,20,1047,The Institute of Mathematical Sciences,Theoretical Physics,Condensed Matter Physics
Frédéric Grosshans,"LIP6, Sorbonne Université, CNRS",26,36,8178,Sorbonne Université,Quantum Computing,Quantum Cryptography
P.Jitendra Srinivas Kumar,"Associate Professor, Akkineni Nageswara Rao College",40,213,9453,Akkineni Nageswara Rao College,Data Mining,Artificial Intelligence
Dr.M.Jeevanandam,Assistant Professor,5,5,668,Assistant Professor,Data Analytics,Artificial Intelligence
Kamlesh saini,Department of Chemistry University of Rajasthan Jaipur,2,2,43,University of Rajasthan,Organic Chemistry,Synthetic Chemistry
Dr. Krishan Kumar Saluja,"Professor, Information Technology, UIET, Panjab University, Chandigarh",38,101,5065,Panjab University,Information Technology,Data Mining
Mukesh Ranjan,"FCIPT, Institute for Plasma Research",28,63,2266,Institute for Plasma Research,Plasma Physics,Fusion Technology
nizamuddin khan,"Professor of Geography, A.M.U., Aligarh, India",10,11,365,Aligarh Muslim University (A.M.U.),Urban Geography,Environmental Studies
Paritosh Pandya,"Adjunct Professor,  CSE, IIT Bombay, Former Professor and Dean, STCS, TIFR",23,50,3411,IIT Bombay,Formal Methods,Real-Time Systems
Partha Pratim Ray,Sikkim University,38,68,10361,Sikkim University,Cloud Computing,Internet of Things
Dr. Pushpak Bhattacharyya,"Professor of Computer Science and Engineering, IIT Bombay",63,409,17920,Indian Institute of Technology Bombay,Natural Language Processing,Machine Learning
Raghu Prakash,Indian Institute of Technology Madras,23,60,2272,Indian Institute of Technology Madras,Materials Science,Mechanical Engineering
Rahul R Nair,"Professor of Materials Physics, University of Manchester, UK",51,71,47525,University of Manchester,Graphene,Two-dimensional Materials
Ramanathan Subramanian,"Associate Professor, University of Canberra",32,61,4577,University of Canberra,Affective Computing,Human-Computer Interaction
Ramesh Loganathan,"Professor, International institute Information Technology Hyderabad (IIITH Hyderabad)",3,3,155,International Institute of Information Technology Hyderabad (IIITH Hyderabad),Innovation and Entrepreneurship,Technology for Social Impact
Ramesh K. Sitaraman,"Distinguished University Professor, University of Massachusetts, Amherst",49,89,11295,University of Massachusetts,Amherst,Computer Networks
Ravi Anant Kishore,National Renewable Energy Laboratory,29,43,2837,National Renewable Energy Laboratory,Renewable Energy Systems,Energy Storage Technologies
Richa Singh,"Professor, IIT Jodhpur",69,254,15416,Indian Institute of Technology Jodhpur,Image Processing,Biometrics
Rohitash Chandra,UNSW,32,80,4056,UNSW,Artificial Intelligence,Data Science
Saikat Chakrabarti,Indian Institute of Technology Kanpur,38,107,6904,Indian Institute of Technology Kanpur,Power Electronics,Renewable Energy Systems
Sanjay Chakraborty,"Postdoc Researcher at Linköping University, Sweden and Associate Professor (lien) TINT Kolkata",18,25,1632,Linköping University,Machine Learning,Data Mining
Shaik Jeelani,Tuskegee University,67,175,13816,Tuskegee University,Structural Engineering,Sustainable Materials
Dr. Santanu Chakraborty,"Full Professor, Radiology, Neuroradiologist, University of Ottawa",30,70,3183,University of Ottawa,Neuroradiology,Radiology
Shashi Kant Gupta,ITM University Gwalior,26,123,4767,ITM University Gwalior,Computer Science,Data Mining
Shibdas Banerjee (Monon),"Associate Professor, IISER Tirupati, INDIA",22,33,3316,IISER Tirupati,Biophysics,Molecular Dynamics
Shubhajit Roy Chowdhury,"Professor, School of Computing and Electrical Engineering, IIT Mandi",22,43,1936,IIT Mandi,Signal Processing,Machine Learning
Kannan Srinivasaraghavan,Principal Scientist,32,57,2962,Principal Scientist,Artificial Intelligence,Data Science
Sriram Ganapathi Subramanian,University of Waterloo,13,15,1111,University of Waterloo,Human-Computer Interaction,Interactive Systems
Suhas Joshi,"Professor, Dept of Mechanical Engineering, Indian Institute of Technology Bombay",49,140,8292,Indian Institute of Technology Bombay,Manufacturing Processes,Tribology
Sujatha Srinivasan,Fred Hutchinson Cancer Center,34,56,5268,Fred Hutchinson Cancer Center,Cancer Biology,Immunotherapy
Suresh Kumar,Chaudhary Devi Lal University,82,804,39547,Chaudhary Devi Lal University,Mathematics,Applied Mathematics
Tanmoy Das,Indian Institute of Science,36,84,5548,Indian Institute of Science,Condensed Matter Physics,Quantum Materials
Tapan Kr. Barman,"Professor, Mechanical Engineering Department, Jadavpur University, India",25,54,1848,Jadavpur University,Mechanical Engineering,Materials Science
Srinivasa Vittal Katikireddi,"MRC/CSO Social and Public Health Sciences Unit, University of Glasgow",89,252,108638,University of Glasgow,Health Inequalities,Social Determinants of Health
"Vinod Kumar Gupta, FWIF,FNASc, FRSC","Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher",202,907,141080,Professor Abdulazeez University,Environmental Chemistry,Analytical Chemistry
Vaishnavi Sundararajan,"Assistant Professor, IIT Delhi",5,3,73,Indian Institute of Technology Delhi,Human-Computer Interaction,Accessibility Technology
Viswanathan Ramasamy,Research Scientist at ICGEB,8,8,418,ICGEB,Structural Biology,Protein Engineering
John peter Arulanandam,The Rapinat Herbarium and Centre for Molecular systematics,4,2,50,St. Josephs College (Autonomous),Plant Taxonomy,Molecular Systematics
Ramesh Narayan,"Thomas Dudley Cabot Professor of the Natural Sciences, Harvard University",149,473,86409,Harvard University,Astrophysics,Black Hole Physics
A Senthil Kumar,National University of Singapore,56,169,10060,National University of Singapore,Environmental Engineering,Water Resources Management
Rajiv Soundararajan,Indian Institute of Science,19,29,9663,Indian Institute of Science,Image and Video Processing,Signal Processing
"Scherer, Stephen W.","The Hospital for Sick Children, Genetics and Genome Biology Program, University of Toronto",165,635,136128,University of Toronto,Genetics,Genome Biology
Mas A. Subramanian (M. A. Subramanian),University Distinguished Professor & Milton Harris Chair of Materials Science,80,316,35566,Oregon State University,Materials Chemistry,Solid-State Chemistry
Sumanth Theeda,The University of Texas at Dallas,3,2,45,The University of Texas at Dallas,Data Science,Artificial Intelligence
Achyut Kumar Panda,"Associate Professor, Veer Surendra Sai University of Technology Burla",23,39,3957,Veer Surendra Sai University of Technology Burla,Environmental Biotechnology,Waste Management
Ananda Theertha Suresh,"Google Research, New York",40,72,24884,Google Research,Machine Learning,Algorithms
Mostafa A. El-Sayed,"Julius Brown Chair and Regents Professor,Department of Chemistry and Biochemistry, Georgia Tech.",146,669,162125,Georgia Institute of Technology,Nanotechnology,Spectroscopy
Rakesh John Amala Arokia Nathan,Johannes Kepler University,4,2,66,Johannes Kepler University,Molecular Biology,Biotechnology
av Ramani,Associate Professor of  Computer Science,4,1,43,University of California,Berkeley,Artificial Intelligence
Matam Vijay-Kumar (Vijay),"Professor, The University of Toledo College of Medicine and Life Sciences",65,129,19954,The University of Toledo College of Medicine and Life Sciences,Immunology,Gut Microbiota
"Vinod Kumar, Ph D","Ben Gurion University of the Negev, Israel",34,132,6505,Ben Gurion University of the Negev,Environmental Engineering,Water Resources Management
Bommireddy Arya Vishnu Vardhan Reddy,Mohan Babu University,12,12,14176,Mohan Babu University,Artificial Intelligence,Data Science
Professor Vivek A. Sharma,"University of California, San DIego",259,1756,354193,University of California,San Diego,Biomedical Imaging
Ajar Nath Yadav,"Deputy Director-IQAC, HoD, Associate Prof., Eternal University (Worlds Top 2% Scientists 2022-2024)",96,345,26814,Eternal University,Environmental Microbiology,Agricultural Biotechnology
Aarthi (Mahalingam) Narain,Dexcom; VoxelCloud,40,76,11699,Dexcom,Continuous Glucose Monitoring,Health Data Analytics
Dr. Aarti S Bhatt,"NMAMIT, Nitte",20,27,1392,NMAMIT,Nitte,Artificial Intelligence
Aarti Gupta,"PhD Scholar, University of Nova Gorica",1,0,5,University of Nova Gorica,Computer Science,Artificial Intelligence
Susheel Sriram Ananthan,Graduate,0,0,0,Indian Institute of Science Education and Research (IISER) Pune,Theoretical Physics,Quantum Field Theory
Aarti Ivanic,University of San Diego,6,6,206,University of San Diego,Environmental Economics,Sustainable Development
Dr. Sandip T. Gadge,Aarti Industries Research and Technology Centre-Mahape,13,13,781,Aarti Industries Research and Technology Centre-Mahape,Organic Chemistry,Process Development
Dr. Wadilal R. Rathod,Dy. Manager-Project-Process l Aarti Pharmalabs Ltd. Tarapur,4,3,100,Aarti Pharmalabs Ltd.,Pharmaceutical Chemistry,Process Optimization
Ankur Agarwal,Florida Atlantic University,43,196,9991,Florida Atlantic University,Quantum Computing,Nanotechnology
Thakur Aseem Kumar,"Principal, K.N.S.G.P. Samastipur",19,65,4503,K.N.S.G.P. Samastipur,Education,Rural Development
Dr. Chittaranjan Pradhan,"Associate Professor, School of Computer Engineering, Kalinga Institute of Industrial Technology",21,44,1908,Kalinga Institute of Industrial Technology,Machine Learning,Data Mining
Dilip Kumar Singh,"Dept of Physics, Birla Institute of Technology Mesra Ranchi",18,27,1463,Birla Institute of Technology Mesra,Condensed Matter Physics,Material Science
Dr. Kumar Harshvardhan,CSRI-NEIST,7,6,969,CSIR-NEIST,Materials Science,Catalysis
Indranil Sen,Engineer,22,32,1868,Indian Institute of Technology Kharagpur,Structural Engineering,Earthquake Engineering
Kannan Subramanian,"Associate.Professor of Computer Applications, Bharath University",42,149,11389,Bharath University,Computer Applications,Data Science
MANISH KUMAR,B.Tech student,121,1258,76179,Indian Institute of Technology (IIT),Renewable Energy Systems,Power Electronics
Dr. Narendra Kumar,Assistant Professor,61,435,19444,Indian Institute of Technology Delhi,Renewable Energy Systems,Energy Storage Technologies
"Nikhil Gupta, FASM","New York University, Tandon School of Engineering",70,190,14548,New York University,Composite Materials,Additive Manufacturing
Prashant K. Bhattacharya,Former Professor: I.I.T.-Kanpur & Former Director: RG Inst. of Petroleum Technology,40,73,3571,Indian Institute of Technology Kanpur,Petroleum Technology,Chemical Engineering
DR. PRABHAT KUMAR,Scientist,62,495,23011,Scientist,Renewable Energy,Environmental Sustainability
Pradipta Banerjee,University of Pittsburgh,15,21,1141,University of Pittsburgh,Computer Architecture,Embedded Systems
Pritam Singh,"Professor of Economics, Oxford Brookes University, Oxford, UK",12,17,652,Oxford Brookes University,Development Economics,Political Economy
Rajiv Agarwal,Indiana Univeristy,111,351,46294,Indiana University,Kidney Disease,Hypertension
Rajiv Tiwari,"Department of Mechanical Engineering, Indian Institute of Technology Guwahati",42,112,5855,Indian Institute of Technology Guwahati,Rotor Dynamics,Condition Monitoring
Rajeev Nayan,Ph.D student at govind ballabh pant university of agriculture and technology,4,3,594,Govind Ballabh Pant University of Agriculture and Technology,Agricultural Sciences,Environmental Sustainability
RAVI PRAKASH JHA,"Biostatistician, Dept. of Community Medicine, Dr. BSA Medical College, Delhi",78,99,110451,Dr. BSA Medical College,Biostatistics,Public Health
Ritesh Kumar Singh,Researcher at AKSW/KILT Research Group,30,121,5651,University of Leipzig,Knowledge Graphs,Semantic Web Technologies
Roshan Lal,Indian Institute of Technology Roorkee,26,53,1656,Indian Institute of Technology Roorkee,Structural Engineering,Earthquake Engineering
Sachin Maheshwari,netaji subhas institute of technology,36,75,5270,Netaji Subhas Institute of Technology,Artificial Intelligence,Data Science
Sandeep Kumar,Ministry of Labour and Employment,128,1309,84496,Ministry of Labour and Employment,Labour Economics,Employment Policy
Sangeeta Sharma,"Freie university and Max Born Institute, Berlin",43,118,9167,Freie Universität Berlin,Condensed Matter Physics,Ultrafast Spectroscopy
Professor Sanjay Sharma (Cardiology),Cardiology clinical and academic group. St Georges University of London and St Georges University,99,300,57254,St Georges University of London,Cardiology,Cardiovascular Imaging
"Satish Chandra Pandey, Ph.D.","Center for Microbial Pathogenesis, Nationwide Childrens Hospital, Columbus, Ohio, USA",19,25,1381,Nationwide Childrens Hospital,Microbial Pathogenesis,Host-Pathogen Interactions
Saurabh Kumar,student of B.TECH,91,832,43388,Indian Institute of Technology (IIT),Power Electronics,Renewable Energy Systems
Dr Saurabh Pandey,"Senior Pharmacokineticist, Syneos Health",19,26,2936,Syneos Health,Pharmacokinetics,Drug Development
Shantanu Singh,Broad Institute of MIT and Harvard,36,64,8740,Broad Institute of MIT and Harvard,Computational Biology,Cancer Genomics
Shivam singh,"Automobile Engineering, Lovely Professional university",27,120,4259,Lovely Professional University,Automobile Engineering,Vehicle Dynamics
Subir Sarkar,"Professor of Physics, University of Oxford",144,427,180928,University of Oxford,Particle Physics,Cosmology
Sujay Chattopadhyay,"Professor, JIS Institute of Advanced Studies & Research Kolkata",30,44,3596,JIS Institute of Advanced Studies & Research,Environmental Science,Sustainable Development
Umesh kumar,"NIT,JAMSHEDPUR",37,105,5517,National Institute of Technology Jamshedpur,Renewable Energy Systems,Power Electronics
Vikash Kumar Pandey,Engineering,78,566,34592,Indian Institute of Technology (BHU) Varanasi,Renewable Energy Systems,Power Electronics
Vikas Kumar,Professor,108,1147,65650,Indian Institute of Technology (IIT) Roorkee,Water Resources Engineering,Hydrological Modeling
Vipin Tyagi,"Jaypee University of Engineering and Technology, Guna",28,56,2612,Jaypee University of Engineering and Technology,Wireless Sensor Networks,Internet of Things
Vishal SINGH,"engineer, sharda university",59,254,15038,Sharda University,Engineering,Technology Innovation
Vivek Gupta,SDE2 at Amazon,51,95,7990,Amazon,Software Engineering,Distributed Systems
VIVEK KUMAR,STUDENT OF ENGINEERING,101,1051,77886,STUDENT OF ENGINEERING,Artificial Intelligence,Renewable Energy
YOGESH KUMAR,H.O.D. & Associate Professor at NandLal Prabhu Devi Barabanki Professional Institute,48,228,11754,NandLal Prabhu Devi Barabanki Professional Institute,Engineering Education,Sustainable Development
Wang Aijun,"Chancellors Fellow Professor of Surgery and Biomedical Engineering, University of California Davis",52,135,9717,University of California Davis,Surgery,Biomedical Engineering
Ajay Agarwal,"Professor of Electrical Engineering, IIT Jodhpur",36,82,6447,IIT Jodhpur,Signal Processing,Wireless Communication
Ajit Singh,Professor Emeritus of economics at Cambridge University,63,388,23516,University of Cambridge,Development Economics,Industrial Organization
Amlan Chakrabarti,"Professor and Director, A.K.Choudhury School of Information Technology, University of",30,107,4535,University of Calcutta,Quantum Computing,Artificial Intelligence
Arun Kumar,Space Science,121,814,57906,Indian Space Research Organisation (ISRO),Space Science,Planetary Exploration
Ashok Kumar Gupta,"Professor (HAG) , Dept. of Civil Engg., Ex. Head, School of Water Resources, IIT Kharagpur",61,144,14861,Indian Institute of Technology Kharagpur,Water Resources Management,Environmental Engineering
Shankar Balasubramanian,University of Cambridge,111,286,59203,University of Cambridge,DNA Sequencing,Chemical Biology
Dileep K. Panda,Researcher,18,27,1657,Researcher,Climate Change,Water Resources Management
Deepak Srivastava,"Ph.d Scholar Department Of Law Nehru Gram Bharti University, Prayag raj",115,275,57601,Nehru Gram Bharti University,Constitutional Law,Human Rights Law
Madhu Menon,"Conn Center, University of Louisville and Adjunct Professor of Physics, University of Kentucky",57,145,13486,University of Louisville,Nanomaterials,Computational Materials Science
Maitrayee Bose,"Assistant Professor, Arizona State University",17,22,1049,Arizona State University,Astrobiology,Planetary Science
Manaswini Dash,"Ph.D. Scholar, Siksha O Anusandhan Deemed to be University",5,4,69,Siksha O Anusandhan Deemed to be University,Education,Social Sciences
Nandini Mukherjee,"Professor of Department of Computer Science and Engineering, Jadavpur University",21,65,2055,Jadavpur University,Data Mining,Machine Learning
Neelam Sharma,MAIT,38,134,7292,Maharaja Agrasen Institute of Technology (MAIT),Artificial Intelligence,Data Mining
Pradeep Kumar,Phd,116,1220,80829,Indian Institute of Technology (IIT) Delhi,Materials Science,Nanotechnology
Dr. Rajesh Kumar Nair,Asst.Professor -Sies College of Management Studies,99,1209,57665,SIES College of Management Studies,Marketing Management,Consumer Behavior
Ramesh Babu P,Trinity College Dublin,34,57,5449,Trinity College Dublin,Computer Science,Data Analytics
ramesh kumar,Adhiyamaan College of Engineering Hosur,76,598,28135,Anna University,Renewable Energy Systems,Power Electronics
Velamati Ratna Kishore,Amrita Vishwa Vidyapeetham,30,47,3544,Amrita Vishwa Vidyapeetham,Renewable Energy Systems,Power Electronics
Ravikumar Balasubramanian,"Assistant Professor of Medicine, Harvard University",25,36,2381,Harvard University,Gastroenterology,Hepatology
Ripudaman Malhotra,"SRI International, retired",38,73,9494,SRI International,Combustion Chemistry,Reaction Kinetics
Dr. Palaniappan Sakthivel,"SAI Life Sciences Ltd., Pune, India.",7,6,195,SAI Life Sciences Ltd.,Medicinal Chemistry,Drug Discovery
Sangram Singh,"Dr.RML Avadh University Faizabad,224001",34,156,6622,Dr. RML Avadh University,Environmental Science,Climate Change
Dr. T.Satyanarayana Murthy,"Associate Professor, Chaitanya Bharathi Institute of Technology",12,18,410,Chaitanya Bharathi Institute of Technology,Signal Processing,Wireless Communication
Senthilkumar Balakrishnan,Tamil Nadu State Council for Science  and Technology,37,69,26735,Tamil Nadu State Council for Science and Technology,Environmental Science,Renewable Energy
Sharada Srinivasan,National Institute of Advanced Studies,17,30,975,National Institute of Advanced Studies,Archaeometallurgy,Heritage Science
SHEILA SHANKAR,University of Pennsylvania,2,1,114,University of Pennsylvania,South Asian Literature,Postcolonial Studies
Sivakumar Balasubramanian,"Department of Bioengineeing, Christian Medical College, Bagayam, Vellore 632002, Tamil Nadu, India",20,29,3061,Christian Medical College,Vellore,Biomechanics
Dr. Shubhra Agarwal,"Professor,Dept. of Obs. & Gyn.;TMMC & RC",9,8,328,TMMC & RC,Obstetrics,Gynecology
Sidhartha Sinha,Assistant Professor of Medicine,18,21,1540,Harvard University,Gastroenterology,Inflammatory Bowel Disease
Dr. ARUMUGAM SRINIVASAN,"STO(2) & Assistant Professor AcSIR, CSIR-Central Leather Research Institute, Chennai",6,5,201,CSIR-Central Leather Research Institute,Leather Science and Technology,Sustainable Biomaterials
Sudha Rani,Pondicherry University,21,24,2554,Pondicherry University,Bioinformatics,Computational Biology
sunitha nagrath,"Professor of Chemical Engineering, University of Michigan",43,69,16203,University of Michigan,Microfluidics,Cancer Diagnostics
surekha katiyar-agarwal,University of Delhi South Campus,26,31,6691,University of Delhi South Campus,Plant Molecular Biology,Abiotic Stress Responses
"Prof. Suresh Sankaranarayanan, SMIEEE",King Faisal University,24,62,2420,King Faisal University,Signal Processing,Wireless Communications
Swarup Kumar Parida,"Scientist, National Institute of Plant Genome Research (NIPGR), New Delhi-67",47,107,6850,National Institute of Plant Genome Research (NIPGR),Plant Genomics,Stress Physiology
Swathi Srinivasan,"Alagappa University, Karaikudi",14,20,596,Alagappa University,Environmental Science,Nanotechnology
Tapan Kumar Saha,University of Queensland,74,459,25947,University of Queensland,Power Systems,Condition Monitoring of Electrical Equipment
Ramya Thangarajan (Sashi),University of South Australia,12,14,4037,University of South Australia,Structural Engineering,Composite Materials
Tripti Singh,University of Wisconsin,22,36,2111,University of Wisconsin,Advanced Materials,Nanotechnology
Suriya Uma Devi S,"Assistant Professor (Sl.G.) / Mathematics, KPR Institute of Engineering and Technology",21,26,2634,KPR Institute of Engineering and Technology,Mathematics,Engineering Applications
Varun Kulkarni,Harvard University,11,11,537,Harvard University,Artificial Intelligence,Data Science
Veena Sharma,Professor,36,141,6348,Panjab University,Environmental Chemistry,Analytical Chemistry
Professor Ravipudi Venkata Rao,S. V. NATIONAL INSTITUTE OF TECHNOLOGY (An Institute of National Importance of Govt. of India),74,174,28290,S. V. National Institute of Technology,Optimization Techniques,Engineering Design
Vipin Kumar,University of Minnesota,139,766,132190,University of Minnesota,Data Mining,Machine Learning
Ashish Vora,Tesla,7,7,403,Tesla,Autonomous Vehicles,Artificial Intelligence
Anirban Chakraborti,"Professor, School of Computational and Integrative Sciences, Jawaharlal Nehru University",35,73,6959,Jawaharlal Nehru University,Complex Systems,Econophysics
Arindam Pal,Director of Data Science and Optimization,21,38,1270,Tata Consultancy Services,Data Science,Optimization
Arunava Mukherjee,Saha Institute of Nuclear Physics,100,195,101651,Saha Institute of Nuclear Physics,Nuclear Physics,Particle Physics
Debashis Bhattacharyya,WEST BENGAL UNIVERSITY OF ANIMAL & FISHERY SCIENCES,9,9,420,WEST BENGAL UNIVERSITY OF ANIMAL & FISHERY SCIENCES,Animal Genetics,Livestock Production
"Indrajit Saha, PhD","Assistant Professor,  Department of Computer Science and Engineering",22,44,1979,National Institute of Technology Durgapur,Bioinformatics,Machine Learning
Jayanta K. Ghosh,"Professor of Statistics, Purdue University",44,95,9690,Purdue University,Statistical Inference,Bayesian Statistics
jyotirmoy bhattacharya,"Assistant Professor, IIT Kharagpur, India.",17,20,2594,Indian Institute of Technology Kharagpur,Condensed Matter Physics,Quantum Field Theory
KAUSHIK SENGUPTA,SAHA INSTITUTE OF NUCLEAR PHYSICS,13,18,1861,SAHA INSTITUTE OF NUCLEAR PHYSICS,Nuclear Physics,Particle Physics
Malay K Kundu,Indian Statistical Institute,37,109,6404,Indian Statistical Institute,Pattern Recognition,Computer Vision
Partha Pratim Das,"Principal Investigator/ Lab head, BDI Monash University",26,44,7172,Monash University,Data Analytics,Bioinformatics
Pinaki Mazumder,"Professor of Computer Sciennce and Engineering, University of Michigan",44,146,13320,University of Michigan,VLSI Design,Neuromorphic Computing
Ranjan Bhattacharyya,"Principal Scientist, IARI, New Delhi 110 012",55,138,9816,Indian Agricultural Research Institute (IARI),Agricultural Biotechnology,Crop Improvement
Santanu Bhattacharya,Professor,81,286,20749,Indian Institute of Science,Organic Chemistry,Supramolecular Chemistry
Sreetama Chatterjee,Santosh Dental College and hospital,1,0,1,Santosh Dental College and Hospital,Oral Pathology,Dental Public Health
Soumyajit Mukherjee (Professor),IIT Bombay; Series Editor: Developments in Structural Geology & Tectonics (Elsevier,40,106,5050,Indian Institute of Technology Bombay,Structural Geology,Tectonics
Sukumar Ghosh,"Professor Emeritus, Department of Computer Science, University of Iowa",25,40,3745,University of Iowa,Distributed Systems,Fault-Tolerant Computing
Swapan K. Ghosh,"UM-DAE-Centre for Excellence in Basic Science, University of Mumbai, India",54,409,18667,University of Mumbai,Theoretical Chemistry,Computational Materials Science
Tarun Kumar Bhattacharya,"Emeritus Scientist, Ex-Professor & Head, Dept. of Farm Machinery & Power Engineering, G B Pant",17,20,1245,G B Pant University of Agriculture and Technology,Farm Machinery,Power Engineering
Tuhin Das,Memorial Sloan Kettering Cancer Center,14,19,1509,Memorial Sloan Kettering Cancer Center,Cancer Biology,Immunotherapy
Utpal Kumar De,"Professor of Economics, North-Eastern Hill University, Shillong",16,30,1137,North-Eastern Hill University,Development Economics,Environmental Economics
Vishal Kumar,Assistant professor,73,427,22414,Indian Institute of Technology (IIT) Delhi,Renewable Energy Systems,Power Electronics
Calin Valsan,Bishops University and University of Bucharest,10,10,420,Bishops University,Economics,Behavioral Economics
NATARAJAN CHANDRASEKARAN,Formerly Director & Sr. Prof Centre for Nanobiotechnology Vellore Institute of Technology/VIT,74,303,21774,Vellore Institute of Technology,Nanobiotechnology,Nanomedicine
Abhinav Bhatele,"Associate Professor of Computer Science, University of Maryland, College Park",41,98,4990,University of Maryland,College Park,High Performance Computing
Amit Verma,"Professor, Oncology, Albert Einstein College of Medicine, Montefiore Medical Center",104,730,46289,Albert Einstein College of Medicine,Oncology,Hematologic Malignancies
anand kumar,University of Manitoba,77,180,48991,University of Manitoba,Neuroscience,Psychiatry
Dr. Ashish Gupta,"I.T.S Engineering College, Greater Noida",60,372,20166,I.T.S Engineering College,Greater Noida,Data Analytics
Ashok kumar,Sindh agriculture university tandojam,149,1551,119322,Sindh Agriculture University Tandojam,Agricultural Sciences,Crop Improvement
Dr. Atul yadav,Research Scholare,13,18,1493,Research Scholare,Data Science,Artificial Intelligence
Bhaveshkumar Bharatiya,Deutsches Elektronen Synchrotron (DESY),20,27,899,Deutsches Elektronen Synchrotron (DESY),Particle Physics,Accelerator Physics
Bhupendra Gupta,"Associate Professor, Mechanical Engineering, Jabalpur Engineering College, Jabalpur, India",18,30,1886,Jabalpur Engineering College,Mechanical Engineering,Thermal Engineering
Biswajit Das,"Research Associate, Case Western Reserve University",27,66,3158,Case Western Reserve University,Biomedical Engineering,Medical Imaging
Chandra Sekhar Pedamallu,"Current : Excelra; Previous : Sanofi, DFCI; HMS; Broad Inst.; NEB Inc.",53,78,58708,Excelra,Bioinformatics,Cancer Genomics
chhavi agarwal,Bhabha Atomic Research Centre,16,29,753,Bhabha Atomic Research Centre,Nuclear Physics,Radiation Chemistry
Deepti Gupta,"Professor of Textile, IIT Delhi",34,79,4794,Indian Institute of Technology Delhi,Textile Engineering,Sustainable Textiles
Rajiv V Dubey,Professor of Mechanical Engineering,32,79,5129,University of South Carolina,Robotics,Rehabilitation Engineering
Himanshu Sharma,"Postdoctoral Fellow, INFN Padova, Italy",57,125,9291,INFN Padova,Particle Physics,Nuclear Physics
Indrajit Bhattacharya,Independent Colsultant,21,35,3190,Independent Consultant,Data Science,Artificial Intelligence
Jayant Kumar,University of Massachusetts Lowell,70,339,25977,University of Massachusetts Lowell,Organic Electronics,Optoelectronics
Kabeer Jasuja,Dr. Dinesh O. Shah Chair Associate Professor IIT Gandhinagar,19,26,1578,Indian Institute of Technology Gandhinagar,Materials Science,Nanotechnology
Karan Tripathi,"Institute of Criminology, University of Cambridge",0,0,0,University of Cambridge,Criminology,Criminal Justice
Khushboo Gautam,"Research Scholar,Forensic Science",1,0,2,Research Scholar,Forensic Science,Criminal Investigation
Linu Mathew,School of Biosciences Mahatma Gandhi university,14,19,822,Mahatma Gandhi University,Plant Biotechnology,Molecular Biology
Manu Agarwal,"Professor, Department of Botany, Univ. of Delhi",36,48,10731,University of Delhi,Plant Physiology,Stress Biology
Mohit Agarwal,Bennett Unversity,18,26,1934,Bennett University,Data Science,Artificial Intelligence
monika thakur,"Assistant professor, RNTU",29,71,2814,Rabindranath Tagore University,Environmental Science,Sustainable Development
Mukesh Kumar,Graphic Era deemed to be University,68,493,26231,Graphic Era deemed to be University,Machine Learning,Data Mining
Narasimhan Rajaram,"Associate Professor of Biomedical Engineering, University of Arkansas",28,46,2340,University of Arkansas,Biomedical Engineering,Tissue Engineering
Niraj Tripathi,"Jawaharlal Nehru Krishi Vishwa Vidyalaya, Jabalpur, India",32,102,3688,Jawaharlal Nehru Krishi Vishwa Vidyalaya,Agricultural Sciences,Crop Improvement
Neha Nigam,University of Chicago,10,11,378,University of Chicago,Public Health,Health Equity
Nitin Pandey,"amity university noida,btech biotechnology",22,48,1621,Amity University Noida,Biotechnology,Genetic Engineering
"Pawan Sharma, Ph.D.","Lewis Katz School of Medicine, Temple University",33,62,13084,Lewis Katz School of Medicine,Temple University,Pulmonary Medicine
